gp_ip_cmd_lin,gp_ip_cmd_ang,gp_ip_curr_lin,gp_ip_curr_ang,Asphalt_Lin_Error,Asphalt_Ang_Error,Grass_Lin_Error,Grass_Ang_Error,Tile_Lin_Error,Tile_Ang_Error
0.9,-0.1,0.9,-0.0,0.0107540696446306,0.0039970205545864,0.0069298176035309,-0.0014188579824339,0.0010870941920281,0.0053660049600775
1.4,-0.7,1.3,-0.3,0.0345001659836692,-0.0190525508966565,0.0227129682493891,-0.0053195618169621,-0.0107032102837789,-0.0124482958635508
0.2,0.4,0.1,0.1,-0.0097761464167222,0.0099252818224873,-0.0105882791668203,0.0007177322902383,-0.0081168525285418,0.0126460473412005
1.0,0.2,1.1,0.0,-0.0154659816175046,-0.009039448964048,0.0277093441157545,-0.0115760539904584,0.0255008261226521,-0.0082185821089663
1.0,-0.0,1.0,0.1,0.023187638929402,0.002363099199899,-0.0008565092791296,-0.0043242315652272,0.0106669832549569,0.0048540040354682
0.5,1.0,0.4,0.8,-0.0085876541268263,0.0124227920502575,-0.0307088290624431,0.0022832781531582,-0.0169714688313393,0.0294320283783454
1.5,0.2,1.4,0.1,0.0093436274542562,0.001569308546575,-0.0358967233340921,0.0128674544122631,0.009611981319984,0.0034501063273304
0.1,0.6,0.1,0.3,0.0125531324815286,0.0085912211420368,-0.0004968514954123,-0.0052216190599428,0.0069326316826726,0.0103332719134977
0.4,-0.0,0.4,0.1,-0.0188630972864067,0.0036232150933031,-0.0093338263377657,0.0042461446712753,-0.0031244294625243,-0.0006082833937201
1.0,0.6,0.4,0.2,-0.0570284703496955,0.0226006535098858,-0.0585505235909929,-0.0020300282538467,-0.0684525388133867,0.0087753962683037
0.5,0.6,0.3,0.2,-0.0045125632998077,0.0152448572979024,-0.0255317817461867,0.0063629777835755,-0.0108632364366487,0.0125311753195235
0.7,1.0,0.6,0.6,0.0081068477997327,0.0312798558224088,-0.0128075035489324,0.0213755750501984,-0.0200449319099057,0.0246235947840097
0.5,0.7,0.4,0.3,-0.0029074360456242,0.0153019544358634,-0.0226648145858543,0.0096181718863119,-0.0078874158342983,0.0114092617636961
0.7,-0.0,0.8,-0.0,0.0210902368799574,0.000905916531869,-0.0035001364086022,-0.0074269699528413,0.0078471849320363,0.0037885364259671
0.7,0.1,0.6,0.0,0.0065916503124122,0.0008786165450173,-0.0236783138787344,-0.0065219051849806,0.0133356707433398,0.0007438990733054
0.3,-0.7,0.2,-0.5,-0.0215649009519891,0.0066330338275901,-0.0098342636871074,0.0157409174750171,-0.0729819959500551,0.157694649854194
